date,confirmed,deaths,recovery,suspect,contact,
24/03/2020,13,0,7,124,
25/03/2020,17,1,0,22,110,
26/03/2020,23,1,0,32,132,
27/03/2020,25,1,0,58,97,
28/03/2020,27,1,0,98,66,
29/03/2020,34,1,1,154,35,
30/03/2020,38,1,1,113,44,
31/03/2020,43,1,1,136,71,
01/04/2020,46,1,1,127,98,
02/04/2020,46,1,1,145,102,
03/04/2020,48,1,1,148,108,
04/04/2020,50,1,1,148,108,
05/04/2020,50,1,1,148,108,
06/04/2020,55,1,1,148,108,
07/04/2020,56,2,1,120,125,
08/04/2020,60,3,1,175,195,
09/04/2020,63,3,1,169,123,
10/04/2020,64,3,1,160,125,
11/04/2020,65,3,1,147,133,
12/04/2020,68,3,1,150,134,
13/04/2020,68,3,1,150,134,
14/04/2020,74,3,2,151,118,
15/04/2020,74,3,4,153,114,
16/04/2020,79,3,5,143,108,
17/04/2020,83,3,8,109,110,
18/04/2020,83,3,15,120,101,
19/04/2020,84,6,23,118,94,
20/04/2020,85,6,25,107,79,
